GENERATION_PROJECT,build_year,build_gen_predetermined
VN00_EBIO,2020,40
VN00_ECCG,2022,0
VN00_ECOA,1976,100
VN00_ECOA,1986,440
VN00_ECOA,2002,600
VN00_ECOA,2005,110
VN00_ECOA,2007,115
VN00_ECOA,2009,630
VN00_ECOA,2010,880
VN00_ECOA,2013,1640
VN00_ECOA,2014,2442
VN00_ECOA,2015,1200
VN00_ECOA,2018,1220
VN00_ECOA,2021,1200
VN00_ECOA,2022,1200
VN00_ECOA,2026,760
VN00_EGEO,2023,0
VN00_EOIL,2022,0
VN00_EROR,1971,120
VN00_EROR,1994,1920
VN00_EROR,2003,9.3
VN00_EROR,2004,12
VN00_EROR,2006,12
VN00_EROR,2007,10.5
VN00_EROR,2008,355
VN00_EROR,2009,84.8
VN00_EROR,2010,121.5
VN00_EROR,2011,207.3
VN00_EROR,2012,2830.4
VN00_EROR,2013,677
VN00_EROR,2014,180
VN00_EROR,2015,359.6
VN00_EROR,2016,1966.5
VN00_EROR,2017,258.2
VN00_EROR,2018,317.7
VN00_EROR,2019,476.8
VN00_EROR,2020,436.9
VN00_EROR,2021,120.5
VN00_EROR,2022,87
VN00_EROR,2023,32
VN00_EROR,2024,12
VN00_EROR,2030,65.7
VN00_ESOL,2020,319.73122
VN00_ESOL,2021,0
VN00_ESOL,2023,0
VN00_EWIN,2023,0
VN00_STG_PHS,2023,0
VN01_EBIO,2020,0
VN01_ECCG,2022,0
VN01_ECOA,2014,1800
VN01_ECOA,2015,650
VN01_ECOA,2022,1330
VN01_EGEO,2023,0
VN01_EOIL,2022,0
VN01_EROR,2009,24
VN01_EROR,2010,431
VN01_EROR,2012,128
VN01_EROR,2013,313
VN01_EROR,2014,32
VN01_EROR,2015,58
VN01_EROR,2016,360
VN01_EROR,2017,91
VN01_EROR,2018,225.6
VN01_EROR,2019,17.4
VN01_EROR,2020,139.5
VN01_ESOL,2020,340.03436
VN01_ESOL,2021,166
VN01_ESOL,2023,45
VN01_EWIN,2021,252
VN01_EWIN,2023,120
VN01_STG_PHS,2023,0
VN02_EBIO,2020,95
VN02_ECCG,2022,0
VN02_ECOA,2015,30
VN02_ECOA,2025,1200
VN02_ECOA,2026,1200
VN02_EGEO,2023,0
VN02_EOIL,2022,0
VN02_EROR,1991,5.4
VN02_EROR,2008,210
VN02_EROR,2009,208.2
VN02_EROR,2010,286.6
VN02_EROR,2011,17.4
VN02_EROR,2012,480.5
VN02_EROR,2013,158
VN02_EROR,2014,125
VN02_EROR,2015,168.4
VN02_EROR,2016,12.8
VN02_EROR,2017,163
VN02_EROR,2018,12
VN02_EROR,2019,308
VN02_EROR,2020,118.1
VN02_EROR,2021,48
VN02_EROR,2030,30
VN02_ESOL,2020,595.44599
VN02_ESOL,2021,319
VN02_ESOL,2023,0
VN02_EWIN,2021,671.1
VN02_EWIN,2023,376.3
VN02_STG_PHS,2023,0
VN03_EBIO,2020,23
VN03_ECCG,2022,0
VN03_ECOA,2017,30
VN03_EGEO,2023,0
VN03_EOIL,2022,0
VN03_EROR,1990,12
VN03_EROR,2002,720
VN03_EROR,2006,277
VN03_EROR,2007,145.9
VN03_EROR,2008,12
VN03_EROR,2009,966.2
VN03_EROR,2010,198.1
VN03_EROR,2011,732.7
VN03_EROR,2012,385.8
VN03_EROR,2014,126
VN03_EROR,2015,187
VN03_EROR,2016,38
VN03_EROR,2017,32
VN03_EROR,2018,95
VN03_EROR,2019,60
VN03_EROR,2020,252.7
VN03_EROR,2021,14
VN03_EROR,2023,12
VN03_EROR,2024,95
VN03_EROR,2028,9
VN03_ESOL,2020,1804.41509
VN03_ESOL,2021,1150
VN03_ESOL,2023,39.516
VN03_EWIN,2021,989.8
VN03_EWIN,2023,1258
VN03_STG_PHS,2023,0
VN04_EBIO,2020,121
VN04_ECCG,2022,0
VN04_ECOA,2014,1200
VN04_ECOA,2018,2474
VN04_ECOA,2024,1432
VN04_EGEO,2023,0
VN04_EOIL,2022,0
VN04_EROR,1946,4.4
VN04_EROR,1964,160
VN04_EROR,1995,7.5
VN04_EROR,2001,611
VN04_EROR,2007,28
VN04_EROR,2008,309.9
VN04_EROR,2009,322.7
VN04_EROR,2010,125
VN04_EROR,2011,15.2
VN04_EROR,2013,25.4
VN04_EROR,2014,158
VN04_EROR,2015,120.6
VN04_EROR,2016,41
VN04_EROR,2017,30
VN04_EROR,2018,7
VN04_ESOL,2020,1643.78683
VN04_ESOL,2021,5800
VN04_ESOL,2023,433.345
VN04_EWIN,2021,1037.52
VN04_EWIN,2023,427.95
VN04_STG_PHS,2023,0
VN05_EBIO,2020,87.5
VN05_ECCG,1999,169
VN05_ECCG,2001,1315
VN05_ECCG,2003,1239
VN05_ECCG,2004,468
VN05_ECCG,2005,1190
VN05_ECCG,2007,771
VN05_ECCG,2008,1236
VN05_ECCG,2010,750
VN05_ECOA,2004,522
VN05_ECOA,2015,1245
VN05_ECOA,2017,1200
VN05_ECOA,2019,1200
VN05_ECOA,2021,1320
VN05_ECOA,2026,1200
VN05_EGEO,2023,0
VN05_EOIL,1992,310
VN05_EOIL,2009,330
VN05_EOIL,2015,330
VN05_EROR,1991,400
VN05_EROR,2004,77
VN05_EROR,2006,51
VN05_EROR,2011,18
VN05_EROR,2017,225
VN05_EROR,2018,30
VN05_ESOL,2020,5027.45345
VN05_ESOL,2021,3127
VN05_ESOL,2023,0
VN05_EWIN,2021,1029.85
VN05_EWIN,2023,1976.75
VN05_STG_PHS,2023,0
